0,1,2,3,4,5,6,7,8,9,10,11,12
-27.55006,-0.019606058,0.021230863,-0.074439965,-0.03334056,-0.14470169,147.93544,40.07769,74.24569,39.880833,47.46936,40.244305,45.72201
-62.882828,-0.08196391,0.049924552,-0.14142019,-0.044995766,-0.25268793,168.8516,39.992527,70.43523,39.311127,43.732903,42.48591,45.68747
-80.26659,-0.0762498,0.07602815,-0.20004047,-0.06457379,-0.29050937,204.17073,41.090664,74.174576,40.06162,47.589745,43.225216,45.601982
-105.52421,-0.03220944,0.09214935,-0.20302759,-0.05377921,-0.33184266,197.77838,41.464283,72.69535,38.793938,44.572178,41.665527,45.64412
-129.39911,-0.09272678,0.121003024,-0.27096164,-0.046771206,-0.2529329,189.58444,43.00261,77.24652,34.6525,46.656815,41.57416,45.6664
-125.40344,-0.15230744,0.09843145,-0.31886965,-0.093476,-0.23470762,235.25177,42.027214,75.64633,33.28464,38.322952,43.39097,45.718254
-149.23456,-0.22063155,0.18163341,-0.30644712,-0.097263336,-0.13162817,253.95036,42.763485,79.733635,33.18984,43.583652,42.83715,45.675274
-148.38017,-0.20203598,0.17656119,-0.26086274,-0.014366809,-0.19587284,211.19742,42.50244,76.76947,37.758392,40.137505,41.944386,45.686085
-172.86209,-0.13880892,0.12677252,-0.27409637,-0.022510989,-0.28585818,208.98886,43.72891,78.05301,36.657547,43.022305,42.389854,45.622784
-171.04881,-0.15335204,0.095489554,-0.29266694,-0.0055611166,-0.34093982,198.98985,42.05707,78.736465,37.047752,46.49518,43.27715,45.612522
-178.40155,-0.1755245,0.07229603,-0.3455495,-0.044777386,-0.3238268,298.25128,42.756207,81.0767,32.976803,45.710686,44.999653,45.625088
-157.65492,-0.18847954,0.06566992,-0.38527712,-0.031289484,-0.3351773,214.67137,43.087666,85.74603,35.38139,53.575283,44.73802,45.57411
-127.494736,-0.19806485,0.03284494,-0.45204163,-0.041231878,-0.34583956,303.6921,42.85293,81.29241,34.844814,53.280315,47.036972,45.54006
-149.63525,-0.22556812,0.06940988,-0.42424428,-0.05060626,-0.23941134,286.74985,44.30432,86.62685,33.292084,48.77259,45.269676,45.604893
-148.39848,-0.21412641,0.009545084,-0.47961184,-0.049991302,-0.34867007,319.22845,42.865597,85.56005,34.68382,56.691772,46.541275,45.47965
-141.3237,-0.16044731,0.03156803,-0.43186858,-0.00015062923,-0.27044308,362.0545,42.10789,83.26307,32.463844,51.9995,46.46472,45.56061
-160.96906,-0.18304421,0.0881962,-0.37694898,0.038972538,-0.27548122,383.82907,42.906868,86.5572,32.959957,55.69225,44.951305,45.52864
-173.30513,-0.17920364,0.12522425,-0.37647584,0.020507455,-0.23881665,360.81094,43.839706,89.32791,31.43094,51.41171,44.137974,45.56283
-169.06233,-0.16787942,0.11013597,-0.36114174,0.045121636,-0.26706225,347.30997,43.12593,84.46325,31.718895,50.882362,44.306602,45.537613
-169.3982,-0.16084667,0.11293498,-0.382356,0.05584052,-0.23452662,266.48566,44.40327,89.26589,32.108074,53.351692,43.314335,45.576782
-190.14005,-0.18341868,0.111903965,-0.37326175,0.05592247,-0.27791962,275.2474,43.543327,89.317055,34.382397,51.812252,43.754063,45.56091
-198.63503,-0.15958185,0.110237435,-0.3662399,0.06181235,-0.31304383,335.39023,42.9327,86.05757,34.072674,53.83561,44.6709,45.530216
-179.02707,-0.16161345,0.13750225,-0.3626925,0.060947914,-0.29732805,335.10168,43.473904,87.462875,34.571754,53.26737,44.296787,45.56633
